Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,297.25,,,,,,,,,
2013,405.70000000001164,,,,,,,,,
2014,512.4,,,,,,,,,
2015,631.4,,,,,,,,,
2016,718.7,,,,,,,,,
2017,844.8,,,,,,,,,
2018,921.4466666666558,,,,,,,,,
2019,1002.8981039510493,,,,,,,,,
2020,1022.5392773482592,,,,,,,,,
2021,1042.6581807927325,,,,,,,,,
2022,1063.1804032553696,,,,,,,,,
2023,1084.1131504134137,,,,,,,,,
2024,1105.4623745333329,,,,,,,,,
2025,1127.2354023123057,,,,,,,,,
2026,1149.4425922132082,,,,,,,,,
2027,1172.0963985935055,,,,,,,,,
2028,1195.2091528256035,,,,,,,,,
2029,1218.7941663828956,,,,,,,,,
2030,1242.8651610364973,,,,,,,,,
2031,1267.4333639274198,,,,,,,,,
2032,1292.5121658404844,,,,,,,,,
2033,1318.120343399029,,,,,,,,,
2034,1344.2791494724213,,,,,,,,,
2035,1371.0077382581267,,,,,,,,,
2036,1398.3216709430235,,,,,,,,,
2037,1426.2324028937162,,,,,,,,,
2038,1454.7498882445464,,,,,,,,,
2039,1483.881784630527,,,,,,,,,
2040,1513.636700177293,,,,,,,,,
2041,1544.0269430896594,,,,,,,,,
2042,1575.0654699833592,,,,,,,,,
2043,1606.761983773471,,,,,,,,,
2044,1639.1253250356187,,,,,,,,,
2045,1672.1651261196753,,,,,,,,,
2046,1705.8929622770631,,,,,,,,,
2047,1740.3213790042735,,,,,,,,,
2048,1775.4624657514569,,,,,,,,,
2049,1811.3286001590964,,,,,,,,,
2050,1847.9326594778709,,,,,,,,,
2051,1885.2887886053584,,,,,,,,,
2052,1923.4109094584799,,,,,,,,,
2053,1962.31166475703,,,,,,,,,
2054,2002.003588500328,,,,,,,,,
2055,2042.5005018109239,,,,,,,,,
2056,2083.8187598885697,,,,,,,,,
2057,2125.9768865134793,,,,,,,,,
2058,2168.9947541586916,,,,,,,,,
2059,2212.893741280735,,,,,,,,,
2060,2257.696197739958,,,,,,,,,
